homoSapienGeneId	Human_Brain1	Human_Brain2	Human_Brain3	Human_Brain4	Human_Brain5	Human_Brain6	Human_Cerebellum1	Human_Cerebellum2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male	Bonobo_Cerebellum_Female	Bonobo_Cerebellum_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Macaque_Brain_Female	Macaque_Brain_Male1	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male
ENSG00000113356	2173	3225	2696	140	1688	76	1230	1950	649	1924	829	2515	2212	1782	2670	4989	380	1822	4400	4581	3172	451	266	415	336	1214	1637	2420	2189	0	1716	5380	2757	5269	13261	3476	7541	2193	8891	404	76	70	73	443	693	297	7	2366	2936	4748	8611
ENSG00000155307	681	798	1507	150	935	76	227	0	905	304	2525	2429	1967	1593	1589	2421	4619	2195	6863	4462	1522	3546	1208	2779	2079	152	1245	0	378	0	495	1287	1266	1739	2267	528	377	151	604	791	151	0	63	3496	2056	1747	472	1142	843	865	1374
ENSG00000170417	1665	1510	1365	907	227	150	4449	5540	983	2238	1057	2975	2685	3936	6340	7046	1441	1659	7259	3345	4300	3757	911	3427	1139	1190	4128	883	151	0	807	378	846	0	224	0	150	0	152	1011	76	302	223	76	0	151	75	0	0	0	0
ENSG00000119421	70718	42295	60199	38842	21690	7763	48868	68285	37916	50144	39333	48588	48483	32954	31908	43803	34582	65298	92508	35632	51469	27049	18090	14824	13990	14565	37642	17288	37707	0	63620	30521	35481	70776	192196	36757	107702	29409	70629	65332	23567	24845	32485	132079	77752	79637	61562	0	0	0	0
ENSG00000137880	5726	6329	4278	5330	2184	835	20426	32248	7901	5983	4381	2574	4810	5355	4055	7393	4683	4655	4999	3693	6790	5708	5188	6286	3874	2616	5902	10094	4353	0	8592	1466	2687	142	681	75	3944	1498	4377	367	55	3209	3134	10336	11942	26835	24675	7528	3645	5796	9600
ENSG00000137955	23190	24512	26595	6444	12896	426	14171	34065	7076	15107	15182	23938	20327	14446	21197	36269	27075	30638	63926	40798	42907	24465	8954	19114	18463	10432	23720	19766	16862	0	15465	18620	14010	41198	100563	25923	49339	25346	49944	82057	40213	60080	83640	98892	41084	69892	69050	35936	21537	34145	39579
ENSG00000102978	68280	39006	67943	46200	33547	9910	71596	109368	37707	42179	31877	52414	46347	41808	35112	90155	57902	43155	91669	58924	63252	64698	49538	63954	60642	24020	40570	26983	37768	0	53735	40470	41905	13865	43406	8946	15220	9153	14887	44969	12898	25134	28306	121080	87615	96170	116922	45386	32671	44240	46894
ENSG00000005812	47229	28458	45209	19991	16511	2827	59799	67829	12012	17605	14782	38362	27499	29522	38958	56726	19419	20651	100354	37284	56162	42122	14581	33000	19530	15035	45156	26387	24168	0	30939	34270	24154	85108	202994	47642	138643	42389	109527	49260	7472	20202	15883	14647	12745	17321	15733	33746	24874	28955	43403
ENSG00000159263	3207	4238	3353	1070	1253	152	4519	9389	0	0	0	115	225	0	484	1145	0	0	0	409	322	76	401	221	175	0	76	75	0	0	0	0	0	0	682	76	0	0	0	97	0	0	0	151	0	300	756	0	0	77	0
ENSG00000161057	59107	29623	46950	22368	18845	3177	43700	68949	15692	24404	22480	41092	36385	38516	32600	70445	33203	37252	81079	53452	56014	43724	21121	27608	19165	19806	51641	29110	10077	0	14948	16017	13615	91940	250501	50644	136795	45459	104524	16954	6930	7829	8312	29017	17544	19521	24848	63430	48759	49334	55944
ENSG00000182645	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	76	0	0	0	150	76	0	0	0	0	227	0	0	0	0	0	0
ENSG00000023287	81483	82618	108137	25189	15190	2635	28639	79065	24151	48306	34161	88009	65718	45561	42773	83073	34165	85214	285096	69237	100387	113331	39081	41865	24237	32723	70952	42071	52290	0	76251	79499	45992	81293	186154	39461	65405	26785	64619	167700	23157	26884	22147	95650	44088	62430	37734	50830	35202	49132	60001
ENSG00000182132	26248	12328	24839	11651	3634	3173	11981	22570	3619	3289	1832	8003	3977	5221	3467	5783	5238	9454	12164	3033	5582	26756	13996	14078	21533	3602	12319	1711	8878	0	14716	26331	23475	30092	72691	13149	55171	29522	30639	20726	4242	15795	16474	2889	1445	14887	11570	13386	9248	1961	1327
ENSG00000112664	111510	47650	59384	45735	27643	11546	103665	81284	45005	39258	39647	51194	53368	69097	97256	95968	73009	104207	156734	67677	141920	111188	24866	55282	15454	30647	101641	30547	63098	0	105298	47853	48209	300126	959997	128401	473733	164895	307593	46394	7378	19874	14017	106174	93608	153334	105793	41130	19853	28812	34090
ENSG00000178445	12095	12452	13447	7288	2196	2192	6660	6845	5025	8067	3761	5703	5883	5357	5500	15252	5759	16435	13407	10358	6276	5691	3476	3173	3491	379	4256	845	6856	0	6816	6050	3546	29375	76661	13522	21865	11111	29061	45047	10776	24546	19206	11556	2613	5515	3953	32957	23913	12681	17459
ENSG00000165355	35631	24351	35714	15623	4456	2179	28593	31510	15111	15579	14004	29867	29129	22896	10976	28768	22405	16851	82281	15557	23077	44223	19436	14952	12741	6953	13557	7722	22747	0	33543	24912	16933	41630	105546	21365	34869	20928	20755	31187	4777	15784	11663	10470	5832	9152	7169	10318	7422	9139	12658
ENSG00000078070	34925	20315	26049	16111	19888	2619	32521	37144	11495	10946	11585	17371	14258	21186	15821	49910	10326	31069	37884	28604	28955	14901	5142	17139	18282	7012	21223	17826	13365	0	17253	29570	19731	22449	66562	10346	58944	19672	31498	23953	3727	22049	14112	32271	13465	23308	22042	23897	17440	26117	31145
ENSG00000197860	94732	61230	91149	30419	5343	2956	21657	60156	10793	9215	12962	47661	26918	20971	14342	28049	23918	10344	111085	12794	27572	33612	12033	5403	2959	11257	28620	3689	23899	0	40567	9973	8470	115469	299241	63014	71880	26934	46553	52333	11053	16331	18292	67815	56802	46966	36452	76160	57549	52809	83784
ENSG00000152953	3603	2494	3147	2110	1896	684	2497	2258	76	222	75	76	0	447	72	626	196	225	858	228	148	148	0	0	76	295	590	0	151	0	1373	76	93	4699	13398	4310	7281	5547	2951	1542	119	112	291	4503	2006	76	0	1364	1200	4382	5251
ENSG00000130024	18543	14543	15552	6731	9416	582	19926	20475	5908	7582	9708	13151	10750	8302	10914	15424	7363	14093	29294	16847	17876	20085	8756	10750	13039	7023	17157	16984	15407	0	18710	19927	14974	28503	65374	10754	30147	14164	24051	50376	12640	14059	14268	31491	17243	25182	20768	11608	6363	10819	11066
